title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Mau Region,https://lh5.googleusercontent.com/p/AF1QipOyGPktZPL-StELV06c9doGGYC46Ikkl3HQBo-B=w464-h260-n-k-no,"Forest, maasai people, river, and wildlife","The Mau Mau Uprising (1952–1960), also known as the Mau Mau Rebellion, the Kenya Emergency, and the Mau Mau Revolt, was a war in the British Kenya Colony (1920–1963) between the Kenya Land and Freedom Army (KLFA), also known as Mau Mau, and the British authorities.Dominated by the Kikuyu people, Meru people and Embu people, the KLFA also comprised units of Kamba and Maasai peoples who fought against the white European colonist-settlers in Kenya, the British Army, and the local Kenya Regiment (British colonists, local auxiliary militia, and pro-British Kikuyu people).The capture of rebel leader Field Marshal Dedan Kimathi on 21 October 1956 signalled the defeat of the Mau Mau. However, the rebellion survived until after Kenya's independence from Britain, driven mainly by the Meru units led by Field Marshal Musa Mwariama and General Baimungi. Baimuingi, one of the last Mau Mau generals, was killed shortly after Kenya attained self-rule.The KLFA failed to capture widespread public support. Frank Füredi, in The Mau Mau War in Perspective, suggests this was due to a British policy of divide and rule but fails to cite any contemporary British government documents which support this assertion. The Mau Mau movement remained internally divided, despite attempts to unify the factions. The British, meanwhile, applied the strategy and tactics they developed in suppressing the Malayan Emergency (1948–60). The Mau Mau Uprising created a rift between the European colonial community in Kenya and the metropole, and also resulted in violent divisions within the Kikuyu community. Suppressing the Mau Mau Uprising in the Kenyan colony cost Britain £55 million and caused at least 11,000 deaths among the Mau Mau and other forces, with some estimates considerably higher. This included 1,090 executions at the end of the war, the largest wartime use of capital punishment by the British Empire.

",https://en.wikipedia.org/wiki/Mau_Mau_Uprising,"4,448",4.0
Nguruman Escarpment,https://t2.gstatic.com/images?q=tbn:ANd9GcSl0J7dc1FelB0g3jCTKuKCS-k3DS8YKGn9zCB2OpooFTOH5UBevjzx_eg8BBGZK1_t82PEi3BfTiAHjw,"Safari, maasai people, hiking, lake, and camping","Nguruman Escarpment is an escarpment in southern Kenya. The escarpment is around 50 kilometres long and elongated in N-W direction. Its northern edge approximately 120 km southwest of Nairobi, while the southern edge is near the Tanzanian border, at the northwestern corner of Lake Natron. The Southern Ewaso Ng'iro river flows southward along the foot of the escarpment, while Loita Hills are located west of the escarpment. The escarpment  forms the western wall of the Great Rift Valley. Below it are the vast plains and  the volcanic hills of the Great Rift Valley and in the distance are Lake Magadi and Lake Natron.The valley floor is about 900m above sea level, while the elevation of the crest of the escarpment is about 2300m.The Shompole Conservancy is located along Nguruman Escarpment.",https://en.wikipedia.org/wiki/Nguruman_Escarpment,7,4.6
Ol Donyo Sabuk,https://t1.gstatic.com/images?q=tbn:ANd9GcTGfK1wz3ZLr3M4i6DLE9qox9G_EVY5TbNp6F2d7b06yRYUCG-OUE9L6kkynKHEZrAdTTpZvM2y0OHubA,Athi River & Mt. Kilimanjaro views,"Ol Donyo Sabuk (in Maasai), or Kyanzavi in Kamba, is a mountain and an adjacent small town near Thika Kenya. The town is located in Kyanzavi Division, Machakos County. The peak, height 2,145 metres (7,037 ft),
was named by Maasai pastoralists, meaning big mountain. The Kamba name, Kyanzavi means the mountain of nzavi or Lablab beans (Lablab purpureus). Kilimambogo, (another name of the mountain) has two parts, Kilima - meaning a hill or mountain in Swahili, and mbogo meaning a buffalo in many Bantu languages. Incidentally, the forested part of the mountain has a large population of buffaloes. Buffalo is called Nyati in Swahili. The town stands at the edge of Machakos County.
Lord William Northrup McMillan was the first white man to settle here, and everything else that has happened since is largely attributed to him (see below: Lord William Northrop McMillan). The town is quite dusty, due to deforestation and loose ground cover, compounded by occasional rainfall. However, the area is adorned with much untamed beauty.
The town is located about 18.5 km (11.5 mi) east-southeast of Thika, along the Thika-Garissa road (A3 road). Driving on Garissa Road from Thika town, there are pineapple plantations on both sides, accentuated by little pockets of blooming eucalyptus. About 18 kilometres (11 mi) east of Thika, there is a junction going south, with Kenya Wildlife Service markings. It will be a 3-kilometre (1.9 mi) drive from here to the famous Fourteen Falls, described as one of Kenya's most spectacular landmarks. By the river is St. Johns Kilimambogo Teachers College, and Immaculate Heart of Mary Mission hospital. Donyo Sabuk town is a kilometre (half-mile) away from Fourteen Falls, just across the Athi River, with a junction leading to the game park, and the other to the great house of Donyo Sabuk.
Down past the 2,145 m (7,037-foot) mountain base sits Donyo Sabuk town, a town that has retained many things that Lord Macmillan bequeathed the area. Here, partying goes on well into the night, and there are a number of ""boys’ bands"", where the box guitar is still in vogue. This musical town is the hometown of the late Kamba musician Kakai Kilonzo, late legendary Sila of Kilunda fame, and the still-active Gä'thika boys band.
Near the peak is the grave of Lord Macmillan, his wife and their dog. Also, there is an extra grave of one Louise, who started working for the Macmillan's when she was age 13 until her death.
In what was once one of the biggest ranches in Kenya, there are five towns inside the former Juja Ranch. The rural area is a multi-ethnic community in farms owned by people who were former squatters and his farm labourers. The mountain peak is inside a game park, and the rest is partially owned by the Kenyatta family.

",https://en.wikipedia.org/wiki/Ol_Donyo_Sabuk,159,4.4
Buffalo Springs National Reserve,https://t2.gstatic.com/images?q=tbn:ANd9GcT4nacOwZ9wtkoxOhpf7VuYxy1H4JsUa7nGnDJk2PC7z8vyvpz7pn6IY5IFK5_D8qkhb5z4V6WsiE9bqWXcWPhDqg,Scenic reserve for safari wildlife views,"Buffalo Springs National Reserve is a protected area in the Isiolo County in northern Kenya.

",https://en.wikipedia.org/wiki/Buffalo_Springs_National_Reserve,465,4.5
Bomas Of Kenya,https://t3.gstatic.com/images?q=tbn:ANd9GcQMluxvDUSlh1li_OAeUAyZV95HXSEcsBMQg_jSjqxPm2QaQ-IsGqtAMDbdX17bapBh5BFPqN2OX9TSRPhUiDEyOg,Traditional tribal villages on display,"Bomas of Kenya is a tourist village in Langata, Nairobi. Bomas (homesteads) displays traditional villages belonging to the several Kenyan tribes.
Bomas of Kenya is home to one of largest auditorium in Africa.
It is located approximately 10km from the Central Business District.

",https://en.wikipedia.org/wiki/Bomas_of_Kenya,"2,996",4.3
Nairobi Gallery,https://lh5.googleusercontent.com/p/AF1QipMlD6OFIbgnKNydlnNNq35x_MVyBP-XoCqmV5g0=w464-h260-n-k-no,"Art, museum, and art museum","Nairobi () is the capital and the largest city of Kenya. The name comes from the Maasai phrase Enkare Nairobi, which translates to ""cool water"", a reference to the Nairobi River which flows through the city. The city proper had a population of 4,397,073 in the 2019 census, while the metropolitan area has a population of 9,354,580. The city is popularly referred to as the Green City in the Sun.Nairobi was founded in 1899 by the colonial authorities in British East Africa, as a rail depot on the Uganda Railway. The town quickly grew to replace Mombasa as the capital of Kenya in 1907. After independence in 1963, Nairobi became the capital of the Republic of Kenya. During Kenya's colonial period, the city became a centre for the colony's coffee, tea and sisal industry. The city lies in the south central part of Kenya, at an elevation of 1,795 metres (5,889 ft).According to the 2019 census, in the administrative area of Nairobi, 4,397,073 inhabitants lived within 696 km2 (269 sq mi).Home to thousands of Kenyan businesses and over 100 major international companies and organizations, including the United Nations Environment Programme (UN Environment) and the United Nations Office at Nairobi (UNON), Nairobi is an established hub for business and culture. The Nairobi Securities Exchange (NSE) is one of the largest in Africa and the second-oldest exchange on the continent. It is Africa's fourth-largest exchange in terms of trading volume, capable of making 10 million trades a day. It also has the Nairobi National Park with a large game reserve.

",https://en.wikipedia.org/wiki/Nairobi,377,4.3
East Africa Satsang Swaminarayan Temple,https://lh5.googleusercontent.com/p/AF1QipNGAoXoPPjsN9GoiIbx22FVarUxSjlhW84dwGbi=w464-h260-n-k-no,Temple,"Swaminarayan, the founder of the Swaminarayan Sampraday, established temples, known as mandirs (Devnagari: मन्दिर), as part of his philosophy of theism and deity worship. These mandirs are known as Swaminarayan Hindu temples.He constructed nine temples in the following cities; Ahmedabad, Bhuj, Muli, Vadtal, Junagadh, Dholera, Dholka, Gadhpur & Jetalpur. In these temples he installed images of various Hindu gods, such as NarNarayan Dev, LaxmiNarayan Dev, RadhaKrishna Dev, RadhaRaman Dev, Revti-Baldevji, Madan Mohan Dev etc. Each of these nine original temples fall either under the NarNarayan Dev Gadi, Ahmedabad or the LaxmiNarayan Dev Gadi, Vadtal depending on their geographical location.One of the most prominent features of the heritage of Swaminarayan is temple architecture. The images in the temples built by Swaminarayan are the evidence of the priority of Krishna. All of the temples constructed during his life show some form of Krishna, and all temples since have such worshipable murtis. In the temples of the dioceses of Ahmedabad and Vadtal, they are predominantly a central altar or a shrine. Human forms are predominant but for a known exception of a Hanuman temple at Sarangpur, where Hanuman is the central figure. The temples have accommodations for sadhus built next to them. Stones were quarried in far places and carried to the temple sites.Swaminarayan temples, like other Hindu temples, have walkways around the central shrine to allow worshipers to circumambulate the shrine. These are often decorated with designs and inlaid marble. The main shrine area is divided by railings. One side of the railing is reserved for women, as Swaminarayan propagated that men and women should be separated in temples to allow full concentration on god. Men do a specified number of prostrations (as decided by themselves). In front of the men's section, there is a small section reserved for ascetics and special guests. There is great variety in form and nature of the central images, in front of which are gold- or silver-plated doors that open during darshan.Today there are over a thousand Swaminarayan temples, spread across five continents, which come under the above two Gadis (seats) of the Swaminarayan Sampraday.

",https://en.wikipedia.org/wiki/List_of_Swaminarayan_temples,239,4.8
Matbronze Art Gallery & Foundry,https://lh5.googleusercontent.com/p/AF1QipNgh_RcOXrpsFCuLsoctCl5UkY_hpEEDGG96Nvm=w464-h260-n-k-no,Art and art museum,,,175,4.6
Red Hill Art Gallery,https://lh5.googleusercontent.com/p/AF1QipPmXIqilWCzS8yTaAGgqx6wEYwMffthx9UMsE5c=w464-h260-n-k-no,Art museum and art,"Rosemary Namuli Karuga (19 June 1928 - 9 February 2021) was a Kenyan visual artist. In 2017, she was named Artist of the Month by the National Museums of Kenya. She is known to be the first woman artist to have studied at Makerere University.",https://en.wikipedia.org/wiki/Rosemary_Karuga,31,4.7
Holy Ghost Cathedral,https://lh5.googleusercontent.com/p/AF1QipOfjFOl_M4xhnlfJDOq5d2DWTsq8UBxB4sv6LIV=w464-h260-n-k-no,Cathedral and church,"The Holy Ghost Cathedral or just Mombasa Cathedral, is the main place of Catholic worship in the city of Mombasa, Kenya, and the seat of the Bishop of the Archdiocese of Mombasa.
The first ""Catholic mission"" of Mombasa was founded in 1889 by Father Alexander le Roy, a Missionary of the Holy Spirit. The residence and the chapel of the first missionaries was in Ndia Kuu (the ancient city of Mombasa), but in 1895 the living conditions had become unbearable, and it was necessary to build a larger building. In January 1898 he bought five acres in what is known as 'Makadara' area, where today is the cathedral.
On Easter Sunday 1898 the church was completed, but in the early twentieth century, the building was already insufficient to accommodate the number of the faithful increasingly growing. Thus in 1919 plans were made to build a new church in Mombasa and in 1923 the church was completed.","https://en.wikipedia.org/wiki/Holy_Ghost_Cathedral,_Mombasa",716,4.4
Ol Doinyo Orok,https://t1.gstatic.com/images?q=tbn:ANd9GcRcnjS4ZHH-ZfGhDZjcuqMP1YYGe0EgEizZV_CJWwBEEcNoU5YmidaGX-0Vf7HfWpoBz8RMnbpeiytxuQ,Mountain and maasai people,"The Ol Donyo Orok mountain (in maasai language), also called Namanga Hills, is situated in southern Kenya next to the Tanzanian border in the Namanga Division. The mountain has a stretched triangular shape, almost like an arrow pointing north. The short side faces the Tanzanian border (and one corner is actually crossing it). The highest peak is 2548 m.",https://en.wikipedia.org/wiki/Ol_Doinyo_Orok,4,5.0
Batian,https://t1.gstatic.com/images?q=tbn:ANd9GcSwfcQeDZe4WBC9bamQNd-Sb1kouf7pM2cocMArS3TKqNUoDtVBD_HrxeuaSXAwiVzjuxDlfTMkGgswu-7lIf_chQ,One of Mt. Kenya's highest points,"Batman is a superhero who appears in American comic books published by DC Comics. Batman was created by artist Bob Kane and writer Bill Finger, and debuted in the 27th issue of the comic book Detective Comics on March 30, 1939. In the DC Universe continuity, Batman is the alias of Bruce Wayne, a wealthy American playboy, philanthropist, and owner of Wayne Enterprises based in Gotham City. Kane, Finger, and future DC writers accompanied Batman with supporting characters, including his sidekick Robin, allies Alfred Pennyworth and James Gordon, and foes such as Catwoman, the Scarecrow, the Penguin, and his archenemy, the Joker. Batman's origin story features him swearing vengeance against criminals after witnessing the murder of his parents Thomas and Martha; he trains himself physically and intellectually, crafts a bat-inspired persona, and monitors the Gotham streets at night.
Kane conceived Batman in early 1939 to capitalize on the popularity of DC's Superman; although Kane frequently claimed sole creation credit, Finger substantially developed the concept from a generic superhero into something more bat-like. The character received his own spin-off publication, Batman, in 1940. Batman was originally introduced as a ruthless vigilante who frequently killed or maimed criminals, but evolved into a character with a stringent moral code and strong sense of justice. Unlike most superheroes, Batman does not possess any superpowers, instead relying on his intellect, fighting skills, and wealth. The 1960s Batman television series used a camp aesthetic, which continued to be associated with the character for years after the show ended. Various creators worked to return the character to his darker roots in the 1970s and 1980s, culminating with the 1986 miniseries The Dark Knight Returns by Frank Miller.
DC has featured Batman in many comic books, including comics published under its imprints such as Vertigo and Black Label. The longest-running Batman comic, Detective Comics, is the longest-running comic book in the United States. Batman is frequently depicted alongside other DC superheroes, such as Superman and Wonder Woman, as a member of organizations such as the Justice League and the Outsiders. In addition to Bruce Wayne, other characters have taken on the Batman persona on different occasions, such as Jean-Paul Valley / Azrael in the 1993–1994 ""Knightfall"" story arc and Dick Grayson, the first Robin, for a three-year period from 2009 to 2011. DC has also published comics featuring alternate versions of Batman, including the incarnation seen in The Dark Knight Returns and its successors, the incarnation from the Flashpoint (2011) event, and numerous interpretations from Elseworlds stories.
One of the most iconic characters in popular culture, Batman has been listed among the greatest comic book superheroes and fictional characters ever created. He is one of the most commercially successful superheroes, and his likeness has been licensed and featured in various media and merchandise sold around the world; this includes toy lines such as Lego Batman and video games like the Batman: Arkham series. Batman has been adapted in live-action and animated incarnations, including the 1960s Batman television series played by Adam West and in films by Michael Keaton in Batman (1989) and Batman Returns (1992), Christian Bale in The Dark Knight Trilogy (2005–2012), and Ben Affleck in the DC Extended Universe (2016–present). Kevin Conroy, Jason O'Mara, and Will Arnett, among others, have provided the character's voice.",https://en.wikipedia.org/wiki/Batman,3,4.0
Loisaba Conservancy Headquarters & Workshop,https://lh5.googleusercontent.com/p/AF1QipN7_Lqv14o407dWdStPhAwxQAAC0XvxuE08YrcW=w464-h260-n-k-no,"Wilderness, safari, elephant, leopard, and wildlife",,,6,5.0
Mombasa Memorial Cathedral,https://t3.gstatic.com/images?q=tbn:ANd9GcR-bCuXPjlAQzvBrHIDfYQL6l-1BtP2ACyVV3-3Zpvsz0rhtCp6vvl268ELMGOAsqx3zXbClwnMdgt0Q_IL03iRkw,Cathedral,"The Anglican dioceses of Mombasa are the Anglican presence in and around Mombasa and south-east Kenya; they are part of the Anglican Church of Kenya. The remaining dioceses of the Church are in the areas of Maseno, of Mount Kenya, and of Nakuru.",https://en.wikipedia.org/wiki/Anglican_dioceses_of_Mombasa,64,4.7
Shri Cutch Satsang Swaminarayan Temple,https://lh5.googleusercontent.com/p/AF1QipNTP7xkqXq4PWiTNg3iG0oy2LK3Id43H_bYsKd9=w464-h260-n-k-no,Temple,,,172,4.5
BAPS Shri Swaminarayan Mandir,https://lh5.googleusercontent.com/p/AF1QipOZOOpk2F22BTJhwZLdVp9A7JxrwpCrWGrZXBon=w464-h260-n-k-no,,"BAPS Shri Swaminarayan Mandir (also commonly known as the Neasden Temple) is a Hindu temple in Neasden, London, England. Built entirely using traditional methods and materials, the Swaminarayan mandir has been described as being Britain's first authentic Hindu temple. It was also Europe's first traditional Hindu stone temple, as distinct from converted secular buildings. It is a part of the Bochasanwasi Shri Akshar Purushottam Swaminarayan Sanstha (BAPS) organisation and was inaugurated in 1995 by Pramukh Swami Maharaj.
The mandir was cited in Guinness World Records 2000 as follows:

""Biggest Hindu Temple outside India: The Shri Swaminarayan Temple in Neasden, London, UK, is the largest Hindu temple outside India. It was built by Pramukh Swami, a 92-year-old Indian sadhu, and is made of 2,828 tonnes of Bulgarian limestone and 2,000 tonnes of Italian marble, which was first shipped to India to be carved by a team of 1,526 sculptors. The temple cost £12 million to build.""
However, since 2000 it has been surpassed in size by other BAPS mandirs elsewhere. The mandir was built and funded entirely by the Hindu community. The entire project spanned five years although the mandir construction itself was completed in two-and-a-half years. Building work began in August 1992. In November 1992, the temple recorded the largest concrete-pour in the UK, when 4,500 tons were put down in 24 hours to create a foundation mat 1.8 metres (5.9 ft) thick. The first stone was laid in June 1993; two years later, the building was complete.The temple complex consists of:

a mandir, constructed mainly from hand-carved Italian Carrara marble and Bulgarian limestone
a permanent exhibition entitled, ""Understanding Hinduism""
the BAPS Shri Swaminarayan Haveli, a cultural centre housing an assembly hall, gymnasium, bookshop, and offices",https://en.wikipedia.org/wiki/BAPS_Shri_Swaminarayan_Mandir_London,484,4.5
Loita Forest,//www.google.com/maps/vt/data=78d2Hl8bmZO7hOrmV3IIoy00NyYNGwVbMIpadUF5g12L6HGZkMDYYc3rcmoFTbWAABIbNCNPjmQ3zHR_EuiNAmGnnOHoSUzwQA,"Forest, maasai people, and nature","The Loita Forest, also known as the Loita Naimina Enkiyio Forest or the Forest of the Lost Child, is an upland forest directly adjacent to the plains of the Masai Mara and the Great Rift Valley, Kenya.
The translation of ""Forest of the Lost Child"" is based on a Maasai legend about a young girl. According to the legend, the girl was taking care of some animal calves when some of them got loose and wandered into the forest. The girl went into the forest to find them. The calves eventually returned home without her. Family members and Maasai warriors marched through the forest to find her, but the girl never came out.",https://en.wikipedia.org/wiki/Loita_Forest,8,3.2
East African Plateau,https://t1.gstatic.com/images?q=tbn:ANd9GcSneV3SUPtYc42lOwUX2ZMdNg6B-oQOKi-g_ScbPK6CbCPWGlZ97lrVl8nzLUE88g4Lg70PzFDwYcbQeg,"Lake, maasai people, volcano, desert, and mountain","The East African Plateau is a large plateau in the eastern part of central Africa in Uganda, Kenya and Tanzania. Its elevation is mostly between 1000 and 1500 meters. It is subdivided into a number of zones running north and south and consisting in turn of mountain ranges, tablelands, and rift valleys. The most striking feature is the existence of two great lines of rift valleys, due largely to the subsidence of segments of the Earth's crust, the lowest parts of which are occupied by vast lakes. Towards the south the two lines converge and give place to one great valley (occupied by Lake Nyasa, or Lake Malawi), the southern part of which is less distinct due to rifting and subsidence than the rest of the system.",https://en.wikipedia.org/wiki/East_African_Plateau,11,4.4
Mount Satima,https://t0.gstatic.com/images?q=tbn:ANd9GcTeqlVRMMRBbikAFw1ENazJRq9R0yzagRGXXe6Iqg67FiALd0owygKwLKf6Bt4OcC3ZJ9hO_ofYnEL9nw,"Hiking, mountain, elephant, and maasai people","Mount Satima, also known as Mount Lesatima and often abbreviated to Satima or Lesatima, is the third-highest mountain in Kenya and the highest in the Aberdare Range. The Maasai name is Oldoinyo Lesatima, which has a variety of alternative spellings, such as Ol Donyo Le Satima, and means ""mountain of the bull calf"".The peak lies at the northern end of the Aberdares, which themselves are along the eastern side of the Great Rift Valley, and is their highest point. Around it stand a number of sharp volcanic cones called ""the Dragon's Teeth"". There are moraines between 3,600 and 3,800 metres on the north west of the mountain. One book on Kenya has called the mountain itself ""a craggy bluff of rock and tussock grass around which the clouds swirl"".",https://en.wikipedia.org/wiki/Mount_Satima,"11,189",4.2
Kenya National Archives & Documentation Service,https://lh5.googleusercontent.com/p/AF1QipO6DQbXOwf3yOfiN7vJydhWyV7A2V6wX2xNQQv0=w464-h260-n-k-no,History,"Kenya National Archives and Documentation Services (KNADS) is situated at the edge of the central business district in downtown Nairobi along Moi Avenue next to Ambassadeur Hotel. The archives look out on the landmark Hilton Hotel, while on the rear side is Tom Mboya street. It was established in 1965. It holds 40,000 volumes. It was established by an Act of the Parliament of Kenya in 1965 and was placed under the office of the Vice President and the Minister of Home Affairs. It is currently under the office of the Vice-President and State Department for National Heritage and Culture.
The Kenya National Archives building also houses the Murumbi Gallery which contains African artifacts that were collected in the 19th century.

",https://en.wikipedia.org/wiki/Kenya_National_Archives,18,4.4
Menengai,https://t2.gstatic.com/images?q=tbn:ANd9GcQvwqI7RKfzxV3sEH14fTGTsKPJrsH8cmQkCe6OtUk-72v43VXNE-VJzCDvQtB7SwVMEtzQwRHGRjTSbg,"Volcano, maasai people, and mountain","Menengai Crater is a massive shield volcano with one of the biggest calderas in the world, in the Great Rift Valley, Kenya. It is the largest volcano caldera in Kenya and the second largest volcano caldera in Africa. Volcanic formed rich loam soils enrich the adjacent farmland arounds its flanks. 
The crater is on the floor of the Rift Valley. The volcano formed about 200,000 years ago and the prominent 12 x 8 km caldera formed about 8000 years ago. The caldera floor is covered with numerous post caldera lava flows.  
The Menengai volcano is considered one of the best-preserved Krakatau-style calderas in the world. 
Menengai has very little sediment in the caldera which is a thick mass of lava boulders and inaccessible ridges.
 Volcanic activity continues  and a current project under the GDC is at an advanced stage  towards geothermal power generation.Menengai is 10 km (6 mi) north of Nakuru, the fourth-biggest city in Kenya.",https://en.wikipedia.org/wiki/Menengai,6,4.8
Ndoro Sculpture Garden,https://lh5.googleusercontent.com/p/AF1QipNweU2rBKVx6kFwCJs48utAFgoozU9kx5tvJplb=w464-h260-n-k-no,Art,,,6,4.2
Maasai Simba Camp,https://lh5.googleusercontent.com/p/AF1QipNYpm4_n0nJyZ3ALU819y4jlq6h_YRFM40-rOjF=w464-h260-n-k-no,Maasai people,"The Serengeti ( SERR-ən-GHET-ee) ecosystem is a geographical region in Africa, spanning northern Tanzania. The protected area within the region includes approximately 30,000 km2 (12,000 sq mi) of land, including the Serengeti National Park and several game reserves. The Serengeti hosts the second largest terrestrial mammal migration in the world, which helps secure it as one of the Seven Natural Wonders of Africa, and as one of the ten natural travel wonders of the world.The Serengeti is also renowned for its large lion population and is one of the best places to observe prides in their natural environment. Approximately 70 large mammal and 500 bird species are found there. This high diversity is a function of diverse habitats, including riverine forests, swamps, kopjes, grasslands, and woodlands. Blue wildebeest, gazelles, zebras, and buffalos are some of the commonly found large mammals in the region. 
The Serengeti also contains the Serengeti District of Tanzania. There has been controversy about a proposal to build a road through the Serengeti.The name ""Serengeti"" is often said to be derived from the word ""seringit"" in the Maasai language, Maa, meaning ""endless plains"". However, this etymology does not appear in Maa dictionaries.

",https://en.wikipedia.org/wiki/Serengeti,27,4.4
BAPS Shri Swaminarayan Mandir,https://lh5.googleusercontent.com/p/AF1QipM8mD21EFJ5tFkGOZiEZKYcPqY1h3uUgbOVMPid=w464-h260-n-k-no,,"BAPS Shri Swaminarayan Mandir (also commonly known as the Neasden Temple) is a Hindu temple in Neasden, London, England. Built entirely using traditional methods and materials, the Swaminarayan mandir has been described as being Britain's first authentic Hindu temple. It was also Europe's first traditional Hindu stone temple, as distinct from converted secular buildings. It is a part of the Bochasanwasi Shri Akshar Purushottam Swaminarayan Sanstha (BAPS) organisation and was inaugurated in 1995 by Pramukh Swami Maharaj.
The mandir was cited in Guinness World Records 2000 as follows:

""Biggest Hindu Temple outside India: The Shri Swaminarayan Temple in Neasden, London, UK, is the largest Hindu temple outside India. It was built by Pramukh Swami, a 92-year-old Indian sadhu, and is made of 2,828 tonnes of Bulgarian limestone and 2,000 tonnes of Italian marble, which was first shipped to India to be carved by a team of 1,526 sculptors. The temple cost £12 million to build.""
However, since 2000 it has been surpassed in size by other BAPS mandirs elsewhere. The mandir was built and funded entirely by the Hindu community. The entire project spanned five years although the mandir construction itself was completed in two-and-a-half years. Building work began in August 1992. In November 1992, the temple recorded the largest concrete-pour in the UK, when 4,500 tons were put down in 24 hours to create a foundation mat 1.8 metres (5.9 ft) thick. The first stone was laid in June 1993; two years later, the building was complete.The temple complex consists of:

a mandir, constructed mainly from hand-carved Italian Carrara marble and Bulgarian limestone
a permanent exhibition entitled, ""Understanding Hinduism""
the BAPS Shri Swaminarayan Haveli, a cultural centre housing an assembly hall, gymnasium, bookshop, and offices",https://en.wikipedia.org/wiki/BAPS_Shri_Swaminarayan_Mandir_London,14,4.9
Oloimugi Maasai Cultural museum,//www.google.com/maps/vt/data=Hb0CE0N_UQ2lQ-k3mVnoLfbhpI-A8cxre0mSAgqt0R-Zt1Fjz6Z5BLIQV8M9SMMPFvZcBhTJ9ZIawZPhyqbY4uiwhgxcJANKWw,Maasai people,,,17,4.6
Gombeshwar,https://lh5.googleusercontent.com/p/AF1QipOY2TahPU3yI7SCaxQ8xY768S_ENLxn9xust7vR=w464-h260-n-k-no,Temple and history,"Mombasa ( mom-BASS-ə, also US:  -⁠BAH-sə) is a coastal city in southeast Kenya along the Indian Ocean. The city is known as the white and blue city in Kenya. It is the country's oldest (circa 900 AD) and second-largest city (after the capital Nairobi), with a population of about 1,208,333 people according to the 2019 census. Its metropolitan region is the second-largest in the country, and has a population of 3,528,940 people.Mombasa is a tourism-based city; it has an extra-large port and an international airport, and is an important regional tourism centre. Located on the east coast of Kenya, it also is the home of one of the state houses, and is considered by some as a second capital in all but name. In 2018 the local government released an edict in which the city was painted white with blue accents and the old town was painted yellow. In Mombasa County and the former Coast Province, Mombasa's situation on the Indian Ocean made it a historical trading centre, and it has been controlled by many countries because of its strategic location.",https://en.wikipedia.org/wiki/Mombasa,15,4.7
Gombeshwar Mandir,https://lh5.googleusercontent.com/p/AF1QipPyIF-eVBHtDwN4ONaHhhgNNnh62S8TVdV5PIxV=w464-h260-n-k-no,Temple,"Apart from India, where the vast majority (966 million)of the world's 1.03 billion Hindu population lives,  Hindu Temples are found across the world, on every continent. In the Indian Subcontinent, thousands of modern and historic temples are spread across Nepal, Sri Lanka, Bangladesh and Pakistan. Outside the region, the oldest temples can be found in Cambodia, Thailand, Malaysia and Indonesia where ancient seafaring empires like the Chola Empire and Vijayanagara Empire spread their dominions.
In the early modern period, Fiji, Guyana, Kenya, Malaysia, Mauritius, Réunion, Seychelles, Singapore, South Africa, Suriname, Tanzania, Trinidad and Tobago and Uganda, have seen many temples being built, as the Indian Diaspora settled across these areas over the past 250-300 years.
Over the past 70 years, immigration to western nations have led to the construction of temples for the Hindu communities in these countries.

",https://en.wikipedia.org/wiki/List_of_Hindu_temples_outside_India,851,4.4
