title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Shaba National Reserve,https://lh5.googleusercontent.com/p/AF1QipM1GMfrMuYgk9qcYg8dJPOkK8El5QxOGTrNLp3U=w464-h260-n-k-no,Well-known nature preserve with wildlife,"Shaba National Reserve is a protected area in Isiolo County in northern Kenya to the east of the Samburu and Buffalo Springs national reserves. Together, the three reserves form a large protected area.The Shaba reserve has dramatic scenery including river-side forests, scattered woodlands and dry grasslands dominated by the Shaba Hill volcano. The plentiful wildlife relies on waterholes and marshes scattered throughout the reserve. Shaba is home to the endangered Grevy's zebra and the rare Williams's lark. Shaba was the setting for the book and film Born Free, for the film Out of Africa and for the reality show Survivor: Africa.
The reserve is a popular destination for tourists. There is some risk that excess numbers of visitors and growth of the local population around the reserve may place stress on the environment.",https://en.wikipedia.org/wiki/Shaba_National_Reserve,267,4.4
Wasini Island,https://lh5.googleusercontent.com/p/AF1QipPlkaeTrG62-X4G7yabc0XRnfIift0Wij2WPIqV=w464-h260-n-k-no,Tiny pedestrian island & snorkeling spot,"Wasini Island lies in southeast Kenya 3 kilometres (1.9 mi) off the coast of the Indian Ocean, 75 kilometres (47 mi) south of Mombasa, and 3 kilometres (1.9 mi) opposite the harbour of the village Shimoni. It is approximately 7 kilometres (4.3 mi) long and 3 kilometres (1.9 mi) across. the name ""wasini mpunguti"" came from the early inhabitants who originally were the Chinese they were short Chinese, hence the name wasini mpunguti which to the locals, means short Chinese. The island has only footpaths of sharp old coral or sand. There are no cars, carts or bicycles. Cargo is transported by foot or by a wheelbarrow with a solid tyre. Transport is over the paths, or via the beaches, mainly consisting of coral and only passable with low tide, or by boat over the sea. Before 1963, in the British colonial time, there was an airstrip in the lagoon situated longitudinal south on the island; only small parts of tarmac are reminders of this history.",https://en.wikipedia.org/wiki/Wasini_Island,31,4.3
Lake Jipe,https://t0.gstatic.com/images?q=tbn:ANd9GcTCAPZU2SR8zZFEGnaJ7SUICKlgNaKZxs8utMdWPXe5GzknZzDB4IOpDVbLSCjEKexQ_GOQDlApszM6ArOtv6Vf6g,Peaceful lake with hills & fishing,"Lake Jipe is an inter-territorial lake straddling the borders of Kenya and Tanzania. On the Kenyan side, it is located south of the village of Nghonji while on the Tanzanian side, it is situated within Mwanga District, in Kilimanjaro Region. The lake is fed mainly by the Lumi River, which descends from Mount Kilimanjaro, as well as streams from the North Pare Mountains, being on the leeward side. The lake's outlet forms the Ruvu River. Kenya's unfenced Tsavo West National Park protects part of the lake's northern shore, while on the Tanzania side Mkomazi Game Reserve is nearby. The lake is known for its endemic fish, as well as water birds, mammals, wetland plants and lake-edge swamps, which can extend 2 kilometres (1.2 mi) from Jipe's shore.

",https://en.wikipedia.org/wiki/Lake_Jipe,183,4.1
Ruma National Park,https://lh5.googleusercontent.com/p/AF1QipNIr4sKQieMa299kQlO3M4Nv5k9SxLBYCoYUVcv=w464-h260-n-k-no,"Vast, serene wildlife conservation site","Ruma National Park is the only terrestrial park in Kenya's Nyanza Province. Dubbed the ""Last Retreat of the Roan Antelope"", the park protects the only indigenous population of rare roan antelopes within Kenya.  At present, the population is on the verge of extinction with individual populations numbering approximately 40. The park was established in 1966 as Lambwe Valley Game Reserve. It was later renamed “Ruma” after one of Kenya's most powerful wizard, the much feared Gor Mahia who lived around the park (affiliated to Gor Mahia F.C.). The park is located in the vast Lambwe Valley.",https://en.wikipedia.org/wiki/Ruma_National_Park,465,4.5
Buffalo Springs National Reserve,https://t2.gstatic.com/images?q=tbn:ANd9GcT4nacOwZ9wtkoxOhpf7VuYxy1H4JsUa7nGnDJk2PC7z8vyvpz7pn6IY5IFK5_D8qkhb5z4V6WsiE9bqWXcWPhDqg,Scenic reserve for safari wildlife views,"Buffalo Springs National Reserve is a protected area in the Isiolo County in northern Kenya.

",https://en.wikipedia.org/wiki/Buffalo_Springs_National_Reserve,9,4.9
Ksite Island,https://t0.gstatic.com/images?q=tbn:ANd9GcS2Rgi-1w6-qVWxfcxa9x8tB_f-e-BARDN0ktNq9Xee2qLoM-FyxIypVR6wuWPjncsRWqbWOD1SWuRYpA,Tiny coral islet with fish & dolphins,"The following is a list of events affecting American television in 2017. Events listed include television show debuts, finales, and cancellations; channel launches, closures, and re-brandings; stations changing or adding their network affiliations; and information about controversies and carriage disputes.",https://en.wikipedia.org/wiki/2017_in_American_television,"8,062",4.6
Giraffe Centre,https://t0.gstatic.com/images?q=tbn:ANd9GcRy2HiRRKSgaWBbh_Em2WIsAxAl803gLoikZq7CfIOiA5sgmPAZUD6aWWy3LbyRC4FNq5Z0Abw7-F9qJDyi4-1MFA,Rescue center for giraffes & nature park,"The Giraffe Centre is located in Lang'ata, approximately 20 kilometres (12 mi) from the centre of Nairobi, Kenya. It was established in order to protect the endangered giraffe, that is found only in the grasslands of East Africa.
In 1979, the Giraffe Center, a nature sanctuary for visiting and including wildlife conservation education for urban school children, was started by Jock Leslie Melville, the Kenyan grandson of a Scottish Earl, when he and his wife Betty captured two baby giraffe to start a programme of breeding giraffe on their Langata property, site of the present Centre.  Since then the programme has had huge success, resulting in the introduction of several breeding pairs of Rothschild Giraffe into Kenyan national parks.
By 1983 enough money had been raised to establish the Giraffe Visitor's Center as a tourist destination just outside Nairobi.
The main attraction for both school children and visitors is feeding giraffes from a raised observation platform. The Giraffe Center is also home to several warthogs which freely roam the area along with the giraffes.",https://en.wikipedia.org/wiki/Giraffe_Centre,346,4.5
Ngong Hills,https://t0.gstatic.com/images?q=tbn:ANd9GcR5XkPt1ZKVhLJ6JX0ApslV0xsil02O36ceO7v3WzrWgeHfsyH0F3Um6GKuoFYDzjGEXiuc6tbTaFKM_hMbmC2dsA,Natural area known for hiking & views,"The Ngong Hills are peaks in a ridge along the Great Rift Valley, located southwest near Nairobi, in southern Kenya. The word ""Ngong"" is an Anglicization of a Maasai phrase ""enkong'u emuny"" meaning rhinoceros spring, and this name derives from a spring located near Ngong Town.The Ngong Hills, from the eastside slopes, overlook the Nairobi National Park and, off to the north, the city of Nairobi.  The Ngong Hills, from the westside slopes, overlook the Great Rift Valley dropping over 1,000 m (3,281 ft) below, where Maasai villages have been developed. The peak of the Ngong Hills is at 2,460 m (8,071 ft) above sea level.During the years of British colonial rule, the area around the Ngong Hills was a major settler farming region, and many traditional colonial houses are still seen in the area. In the 1985 film Out of Africa, the four peaks of the Ngong Hills appear in the background of several scenes near Karen Blixen's house.  Local residents still reported seeing lions in the Hills during the 1990s. The solitary grave of Denys Finch Hatton, marked by an obelisk and garden, is located on the eastern slopes of the Ngong Hills, overlooking the Nairobi National Park.
There is a walking trail along the tops of the Ngong Hills. Kenya Forestry Service has a small post at the NE foot of the park. There is a KSH 600 fee for visitors. Local residents have sometimes held Sunday church services on the southern peak, overlooking the Great Rift Valley.
Near the hills is the town of Ngong. The Ngong Hills Wind Power Station is being built on the hills. This is the first wind farm in the country. 
Kenya Forestry Service offers guides/security to accompany hikers for an extra fee (KES 2000).
Bruce MacKenzie, Minister of Agriculture in Kenya, was killed when a time bomb attached to his plane exploded as it flew above Ngong Hills in a flight from Entebbe, Uganda on May 24, 1978, after Ugandan President Idi Amin ordered Ugandan agents to assassinate MacKenzie.",https://en.wikipedia.org/wiki/Ngong_Hills,126,4.1
parco nazionale di Saiwa Swamp,https://t1.gstatic.com/images?q=tbn:ANd9GcQYRTn7Q-DSO9klNXaby0kEe6wDDL14a_pUyCFiR3g8rRtHhNhjz43iCkG3oknmqWFkztdz7hEshFuauE55knIUtQ,Wetland preserve home to rare wildlife,,,"1,745",4.7
Mara Triangle,https://lh5.googleusercontent.com/p/AF1QipMx5MrzHxdzHmaBNIGf4yFF77Z2zAduoc6TfdXS=w464-h260-n-k-no,Remote safari area in Maasai Mara,"The Mara Triangle is the southwestern part of the Maasai Mara National Reserve, Kenya, and is managed by the not-for-profit organisation The Mara Conservancy on behalf of Trans-Mara County Council.
Divided from the rest of the Maasai Mara National Reserve by the Mara River, the Mara Triangle is less visited and less crowded, with a high concentration of game all year-round including the Big Five (lion, leopard, elephant, buffalo and rhino) and diverse plains game such as cheetah, hyena, jackal, wildebeest, zebra, giraffe, waterbuck and many other species.
The Mara Triangle is the area where the herds of the Great Migration enter and exit the Maasai Mara National Reserve from the Serengenti National Park in Tanzania, making it a prime viewing spot for this wildlife spectacle. Crossings of the Mara River are world-renown for being particularly dramatic, featuring in many wildlife documentaries such as Wild Africa and Big Cat Diary.",https://en.wikipedia.org/wiki/Mara_Triangle,"17,899",4.1
Uhuru Park,https://lh5.googleusercontent.com/p/AF1QipNxYSxVIocfvHo7NOIaDIedEsrHR6mV76rIHYHl=w464-h260-n-k-no,National monuments & an artificial lake,"Uhuru Park is a 12.9 hectare recreational park adjacent to the central business district of Nairobi, Kenya. It was opened to the general public by the late Mzee Jomo Kenyatta on 23 May 1969. It contains an artificial lake, several national monuments, and an assembly ground which has become a popular skateboarding spot on weekends and also a location for local skateboarding competitions (best trick contest 2017), catering to Nairobi's growing skate scene.Apart from skateboarding, the assembly ground is used for occasional political and religious gatherings. It is infamous as the site where protest against illegal land grabbing was violently broken up by the Moi regime.
In 1989, Wangari Maathai and many of her followers held a protest at the park, attempting to stop the construction of the 60-storey Kenya Times Media Trust business complex. She was forced by the government to vacate her office and was vilified in parliament, but her protests and the government's response led foreign investors to cancel the project.In August 1996, a group led by a Catholic cardinal and Archbishop Maurice Michael Otunga burned a heap of condoms in Uhuru Park.Uhuru Park was the scene of a bomb blast in June 2010, which killed six people and left over 100 people injured. The attack targeted a ""NO"" campaign rally for the forthcoming constitutional referendum.",https://en.wikipedia.org/wiki/Uhuru_Park,14,4.6
Point Lenana,https://t1.gstatic.com/images?q=tbn:ANd9GcTvkqnF1aEEQAOryHKwijx07Tss-rkgpsNA1D0-77YEyIhYZi17_n2N8UQM4_razO-Nm-V-YMY54X-iOnKQNQPUZQ,Mount Kenya peak popular for treks,"Mount Kenya is the highest mountain in Kenya and the second-highest in Africa, after Kilimanjaro. The highest peaks of the mountain are Batian (5,199 metres or 17,057 feet), Nelion (5,188 m or 17,021 ft) and Point Lenana (4,985 m or 16,355 ft). Mount Kenya is located in the former Eastern and Central provinces of Kenya, now Meru, Embu, Laikipia, Kirinyaga, Nyeri and Tharaka Nithi counties, about 16.5 kilometres (10 1⁄4 miles) south of the equator, around 150 km (90 mi) north-northeast of the capital Nairobi. Mount Kenya is the source of the name of the Republic of Kenya.
Mount Kenya is a stratovolcano created approximately 3 million years after the opening of the East African Rift. Before glaciation, it was 7,000 m (23,000 ft) high. It was covered by an ice cap for thousands of years. This has resulted in very eroded slopes and numerous valleys radiating from the centre. There are currently 11 small glaciers, which are shrinking rapidly, and may be gone forever by 2050. The forested slopes are an important source of water for much of Kenya.There are several vegetation bands from the base to the summit. The lower slopes are covered by different types of forest. Many alpine species are endemic to Mount Kenya, such as the giant lobelias and senecios and a local subspecies of rock hyrax. An area of 715 km2 (276 sq mi) around the centre of the mountain was designated a National Park and listed as a UNESCO World Heritage Site in 1997. The park receives over 16,000 visitors per year.",https://en.wikipedia.org/wiki/Mount_Kenya,3,4.0
Batian,https://t1.gstatic.com/images?q=tbn:ANd9GcSwfcQeDZe4WBC9bamQNd-Sb1kouf7pM2cocMArS3TKqNUoDtVBD_HrxeuaSXAwiVzjuxDlfTMkGgswu-7lIf_chQ,One of Mt. Kenya's highest points,"Batman is a superhero who appears in American comic books published by DC Comics. Batman was created by artist Bob Kane and writer Bill Finger, and debuted in the 27th issue of the comic book Detective Comics on March 30, 1939. In the DC Universe continuity, Batman is the alias of Bruce Wayne, a wealthy American playboy, philanthropist, and owner of Wayne Enterprises based in Gotham City. Kane, Finger, and future DC writers accompanied Batman with supporting characters, including his sidekick Robin, allies Alfred Pennyworth and James Gordon, and foes such as Catwoman, the Scarecrow, the Penguin, and his archenemy, the Joker. Batman's origin story features him swearing vengeance against criminals after witnessing the murder of his parents Thomas and Martha; he trains himself physically and intellectually, crafts a bat-inspired persona, and monitors the Gotham streets at night.
Kane conceived Batman in early 1939 to capitalize on the popularity of DC's Superman; although Kane frequently claimed sole creation credit, Finger substantially developed the concept from a generic superhero into something more bat-like. The character received his own spin-off publication, Batman, in 1940. Batman was originally introduced as a ruthless vigilante who frequently killed or maimed criminals, but evolved into a character with a stringent moral code and strong sense of justice. Unlike most superheroes, Batman does not possess any superpowers, instead relying on his intellect, fighting skills, and wealth. The 1960s Batman television series used a camp aesthetic, which continued to be associated with the character for years after the show ended. Various creators worked to return the character to his darker roots in the 1970s and 1980s, culminating with the 1986 miniseries The Dark Knight Returns by Frank Miller.
DC has featured Batman in many comic books, including comics published under its imprints such as Vertigo and Black Label. The longest-running Batman comic, Detective Comics, is the longest-running comic book in the United States. Batman is frequently depicted alongside other DC superheroes, such as Superman and Wonder Woman, as a member of organizations such as the Justice League and the Outsiders. In addition to Bruce Wayne, other characters have taken on the Batman persona on different occasions, such as Jean-Paul Valley / Azrael in the 1993–1994 ""Knightfall"" story arc and Dick Grayson, the first Robin, for a three-year period from 2009 to 2011. DC has also published comics featuring alternate versions of Batman, including the incarnation seen in The Dark Knight Returns and its successors, the incarnation from the Flashpoint (2011) event, and numerous interpretations from Elseworlds stories.
One of the most iconic characters in popular culture, Batman has been listed among the greatest comic book superheroes and fictional characters ever created. He is one of the most commercially successful superheroes, and his likeness has been licensed and featured in various media and merchandise sold around the world; this includes toy lines such as Lego Batman and video games like the Batman: Arkham series. Batman has been adapted in live-action and animated incarnations, including the 1960s Batman television series played by Adam West and in films by Michael Keaton in Batman (1989) and Batman Returns (1992), Christian Bale in The Dark Knight Trilogy (2005–2012), and Ben Affleck in the DC Extended Universe (2016–present). Kevin Conroy, Jason O'Mara, and Will Arnett, among others, have provided the character's voice.",https://en.wikipedia.org/wiki/Batman,528,4.3
Arabuko Sokoke National Reserve,https://lh5.googleusercontent.com/p/AF1QipOT_AWZTNdzUdtDWiCJfjCb4SBQJ611E6XX7gUb=w464-h260-n-k-no,Vast coastal forest preserve with trails,"The Arabuko Sokoke Forest Reserve is located on the coast of Kenya, 110 km north of Mombasa and is protected as a national Forest Reserve. The Arabuko Sokoke National Park, situated at the north-western edge of the Arabuko Sokoke Forest Reserve, is only a few square kilometres in size and constitutes only a small portion of the latter.",https://en.wikipedia.org/wiki/Arabuko_Sokoke_National_Park,"4,284",4.4
Nairobi Safari Walk,https://lh5.googleusercontent.com/p/AF1QipNTRrLta--ZbCpgdwfedJOBwjvd2YZmIhybTbnS=w464-h260-n-k-no,Wooden boardwalk across a safari park,"Nairobi National Park is a national park in Kenya that was established in 1946 about 7 km (4.3 mi) south of Nairobi. It is fenced on three sides, whereas the open southern boundary allows migrating wildlife to move between the park and the adjacent Kitengela plains. Herbivores gather in the park during the dry season. Nairobi National Park is negatively affected by increasing human and livestock populations, changing land use and poaching of wildlife.
Despite its proximity to the city and its relative small size, it boasts a large and varied wildlife population, and is one of Kenya's most successful rhinoceros sanctuaries.",https://en.wikipedia.org/wiki/Nairobi_National_Park,470,4.3
Kakamega Forest,https://lh5.googleusercontent.com/p/AF1QipPtDNhG-myiK5oaEB6QK43xrzVTQgJ5EGOYL_9-=w464-h260-n-k-no,"Forest, nature reserve, safari, birdwatching, and rainforest","Kakamega Forest is a tropical rainforest situated in the Kakamega and Nandi 
County of Kenya, northwest of the capital Nairobi, and near to the border with Uganda. It is Kenya's only tropical rainforest and is said to be Kenya's last remnant of the ancient Guineo-Congolian rainforest that once spanned the continent.",https://en.wikipedia.org/wiki/Kakamega_Forest,6,5.0
Loisaba Conservancy Headquarters & Workshop,https://lh5.googleusercontent.com/p/AF1QipN7_Lqv14o407dWdStPhAwxQAAC0XvxuE08YrcW=w464-h260-n-k-no,"Wilderness, safari, elephant, leopard, and wildlife",,,10,4.5
Central Island,https://t1.gstatic.com/images?q=tbn:ANd9GcQvGYKnVrRTeuBU1Nsk4PGZRtYVHA43FMUtNxQRiBSM068iCzL9iqdloVSool7sgLY0zvUvCmK-lkeolA86B-GS8g,Lake and crocodiles,"Central Island, also known as Crocodile Island, is a volcanic island located in the middle of Lake Turkana in Kenya. It is also the location of Central Island National Park, which is governed by the Kenya Wildlife Service.It is composed of more than a dozen craters and cones, three of which are filled by small lakes. The two largest lakes partially fill craters up to a kilometre wide and about 80 m deep, the floors of which are near sea level. The highest point on the dominantly basaltic island reaches 550 m, about 190 m above the lake surface. An E-W-trending chain of small explosion craters cuts the eastern side of the 3-km-wide island. Several small islands to the SE represent partially submerged crater rims, and other cones and lava plugs lie beneath the lake surface near the island.
The youngest Central Islands tuffs and lavas may be as young as Holocene (Karson and Curtis, 1992). Fumarolic activity is concentrated along the NE-to-SE rim of the central crater, and sprays of sulfur from the fumaroles were observed by visitors in the 1930s. In 1974 intense emission of molten sulfur and steam clouds were seen from the mainland.

",https://en.wikipedia.org/wiki/Central_Island,15,4.7
Mzima Springs,https://t3.gstatic.com/images?q=tbn:ANd9GcTEMmnjrfM5SPJAyRatH45jDQV4Grv4IcP1hnMuslpIIdeFEOHCnz0_IAF5sFsTkVzrEtztnkiJ5Wl1UA,"Natural springs, home to hippos","Mzima Springs are a series of four natural springs in Tsavo National Park, Kenya. They are located in the west of the Park, around 48 km from Mtito Andei. The source of the springs is a natural reservoir under the Chyulu Hills to the north. The Chyulu range is composed of volcanic lava rock and ash, which is too porous to allow rivers to flow. Instead, rain water percolates through the rock, and may spend 25 years underground before emerging 50 kilometres away at Mzima. The natural filtration process gives rise to Mzima's famously clear stream, which flows through a series of pools and rapids. Two kilometres downstream from the springs, the stream is blocked by a solidified lava flow and disappears below the surface again.
Mzima is one of Tsavo's most popular wildlife attractions owing to its resident populations of hippos and Nile crocodiles. Mzima's isolation makes both species are dependent on its waters: other sources are too distant for them to reach by overland travel. The hippos also sustain an entire food chain. They browse the surrounding savannah by night and return to Mzima's pools by day, where their dung fertilises the water. Fruiting trees such as date and raffia palms, waterberrys and figs grow beside the water, using their submerged roots to absorb nutrients. Their fruits are a source of food for vervet monkeys and a variety of birds. Below the water's surface, the invertebrates which feed on the hippo dung are preyed on by fish and cormorants.The springs were made famous by wildlife film-makers Alan and Joan Root's 1969 nature documentary Mzima: Portrait of a Spring, which featured underwater footage of the hippos and crocodiles. They were also the subject of the Survival Special Mzima: Haunt of the Riverhorse in 2003, which featured the first footage of a hippo infanticide.In 2009, a prolonged drought proved catastrophic for Mzima's wildlife. Starving game animals were driven to permanent water sources in their thousands, bringing them into competition with the resident hippos. The grassland surrounding the spring turned to desert and hippos began starving to death. In September 2009, only five remained, down from 70 in 2003, and journalists reported seeing carcasses floating in the pools.",https://en.wikipedia.org/wiki/Mzima_Springs,"2,531",4.3
Nyahururu Falls,https://t3.gstatic.com/images?q=tbn:ANd9GcS71cbRxLDtKnKUyxYZ2245yG9B7jazowTNyyE2SZpZBMR2Yra_MChBc50TMVelrdJmTaq7pMEM6flRXFo2J2XiOQ,Dramatic 74-m. waterfall in a lush gorge,"Nyahururu (formerly known as Thomson's Falls) is a town in Kenya, lying north east of Nakuru. The town derives its name from the Maasai word e-naiwurruwurr, meaning waterfall and/or windy or place of storms. It is located in Laikipia County. Despite this, Nyahururu formerly  functioned as the administrative capital of Nyandarua County, before it became a county, until the headquarters was shifted to Ol Kalou. There have been calls for a reversal.  The town has an urban population of 36,450. The town still continues to be a central economic power of the immediate former district of Nyandarua. For that reason, the town has strong economic ties to the two counties.",https://en.wikipedia.org/wiki/Nyahururu,"1,789",4.4
Karen Blixen Museum,https://t3.gstatic.com/images?q=tbn:ANd9GcQEqd1rNOudgIj_EThYd1vMaRbjAobD03cUTCNC95azMvZWXuaTJ48OLhaaEv-XbjwEo4tGeA0yaF8LzkL3ID2pjw,'Out Of Africa' author Blixen's old home,"The Karen Blixen Museum, located 10 km outside of Nairobi, Kenya, ""at the foot of the Ngong Hills"", is the former African home of Danish author Karen Blixen, famous for her 1937 book Out of Africa which chronicles life at the estate.",https://en.wikipedia.org/wiki/Karen_Blixen_Museum_(Kenya),131,4.6
Olare Orok Conservancy,https://t0.gstatic.com/images?q=tbn:ANd9GcR3WSMYaONLOngjVOCx2dVvs4kTEjehCGXbQZCjqmjN09_tqlfcZ7j0xdciTDrxj1WTBtrEb1O1F4o6S54g9Bjeog,Nature reserve with wildlife safaris,,https://en.wikipedia.org/wiki/Olare_Orok_Conservancy,1,5.0
Nyiri Desert,https://t2.gstatic.com/images?q=tbn:ANd9GcRHTf66WzqJC-cv2PC6nYbAebPx5LrACqBWvCbApgq3jVU6cj2Ql1KqYE4qB1H9HFpj0guyIoNyB5akpw,Desert and safari,"Nyiri Desert, also called The Nyika, Taru Desert,  Taru desert, is a desert in southern Kenya. It is located east of Lake Magadi and between Amboseli, Tsavo West and Nairobi National Parks. A high proportion of Kajiado County's land area is covered by the Nyiri Desert. Its aridity is caused by the rain shadow of Mount Kilimanjaro.",https://en.wikipedia.org/wiki/Nyiri_Desert,216,4.4
Lake Elementaita,https://t2.gstatic.com/images?q=tbn:ANd9GcQ6Ak48XVxqqkTtrcYgVtPAn0LxVnQsGkm8AzGFIJ6s1i9vFDW7y-SKDNtl1vJjhOcjM1r0mLL_hMrXa54NzFkNPw,Huge lake with hot springs & rare birds,"Lake Elmenteita' is a soda lake, in the Great Rift Valley, about 120 km northwest of Nairobi, Kenya.",https://en.wikipedia.org/wiki/Lake_Elmenteita,159,4.4
Ol Donyo Sabuk,https://t1.gstatic.com/images?q=tbn:ANd9GcTGfK1wz3ZLr3M4i6DLE9qox9G_EVY5TbNp6F2d7b06yRYUCG-OUE9L6kkynKHEZrAdTTpZvM2y0OHubA,Athi River & Mt. Kilimanjaro views,"Ol Donyo Sabuk (in Maasai), or Kyanzavi in Kamba, is a mountain and an adjacent small town near Thika Kenya. The town is located in Kyanzavi Division, Machakos County. The peak, height 2,145 metres (7,037 ft),
was named by Maasai pastoralists, meaning big mountain. The Kamba name, Kyanzavi means the mountain of nzavi or Lablab beans (Lablab purpureus). Kilimambogo, (another name of the mountain) has two parts, Kilima - meaning a hill or mountain in Swahili, and mbogo meaning a buffalo in many Bantu languages. Incidentally, the forested part of the mountain has a large population of buffaloes. Buffalo is called Nyati in Swahili. The town stands at the edge of Machakos County.
Lord William Northrup McMillan was the first white man to settle here, and everything else that has happened since is largely attributed to him (see below: Lord William Northrop McMillan). The town is quite dusty, due to deforestation and loose ground cover, compounded by occasional rainfall. However, the area is adorned with much untamed beauty.
The town is located about 18.5 km (11.5 mi) east-southeast of Thika, along the Thika-Garissa road (A3 road). Driving on Garissa Road from Thika town, there are pineapple plantations on both sides, accentuated by little pockets of blooming eucalyptus. About 18 kilometres (11 mi) east of Thika, there is a junction going south, with Kenya Wildlife Service markings. It will be a 3-kilometre (1.9 mi) drive from here to the famous Fourteen Falls, described as one of Kenya's most spectacular landmarks. By the river is St. Johns Kilimambogo Teachers College, and Immaculate Heart of Mary Mission hospital. Donyo Sabuk town is a kilometre (half-mile) away from Fourteen Falls, just across the Athi River, with a junction leading to the game park, and the other to the great house of Donyo Sabuk.
Down past the 2,145 m (7,037-foot) mountain base sits Donyo Sabuk town, a town that has retained many things that Lord Macmillan bequeathed the area. Here, partying goes on well into the night, and there are a number of ""boys’ bands"", where the box guitar is still in vogue. This musical town is the hometown of the late Kamba musician Kakai Kilonzo, late legendary Sila of Kilunda fame, and the still-active Gä'thika boys band.
Near the peak is the grave of Lord Macmillan, his wife and their dog. Also, there is an extra grave of one Louise, who started working for the Macmillan's when she was age 13 until her death.
In what was once one of the biggest ranches in Kenya, there are five towns inside the former Juja Ranch. The rural area is a multi-ethnic community in farms owned by people who were former squatters and his farm labourers. The mountain peak is inside a game park, and the rest is partially owned by the Kenyatta family.

",https://en.wikipedia.org/wiki/Ol_Donyo_Sabuk,47,4.1
Kora National Park,https://lh5.googleusercontent.com/p/AF1QipOj93sFEFy4xYdI2uqQHC9ilg9nhIWn4yOGC66M=w464-h260-n-k-no,"Park, nature reserve, safari, game reserve, and wildlife","Kora National Park is located in Tana River County, Kenya. The park covers an area of 1,788 square kilometres. It is located 125 kilometres east of Mount Kenya. The park was initially gazetted as a nature reserve in 1973. It was gazetted as a national park in 1989, following the murder of George Adamson by poachers.Meru National Park and the Tana River mark 65 kilometres of the park's northern boundary. Features of the Tana River include Adamson's Falls, Grand Falls and the Kora rapids. Its eastern boundary is marked by the Mwitamvisi River. The park has several seasonal rivers.The topography of the park slopes gently from an altitude of 490 m in the south-west to an altitude of about 270m in the north-east. The central area of the park is an undulating peneplain. Basement ridges protrude above the surface of the peneplain as rocky inselbergs, domed hills or hard rocks that rise steeply from the surrounding area. The highest of these inselbergs are Mansumbi (488m), Kumbulanwa (450m) and Kora Rock (442m). The cracks and crevices in the inselbergs have become filled with soil, and a wide variety of herbs, shrubs and small wind-blown trees have become established in them.There is a wide variety of animal species in the park, including the caracal, Tanzanian cheetah, African bush elephant, genet, hippopotamus, spotted and striped hyenas, African leopard, lion, serval, wildcat and several types of antelope. The vegetation in the park is mostly acacia bushland. There are also riverine forests of doum palm and Tana River poplar.The park had serious problems with poachers in the 1980s and 1990s. George Adamson and two of his assistants were murdered by poachers in the park in 1989. Adamson is buried in the park with three lions he released.Efforts to restart the park were culminating in 2012 when the British actor Martin Clunes filmed a four month old orphaned lion cub being introduced to the compound; the first in 22 years. The cub named Mugie was around a year old when hyenas attacked it (who were in the area in large numbers due to poachers leaving carcasses behind), inflicting internal injuries from which it did not recover. The program left Tony Fitzjohn and his small crew there hoping to raise funds for the government approved fencing to make the area secure, and still trying to attain three other cubs from nearby Tanzania.

",https://en.wikipedia.org/wiki/Kora_National_Park,303,4.6
Naboisho Conservancy,https://lh5.googleusercontent.com/p/AF1QipO9ZEviRw_BzSHzwU0Rx7PHaEHdGQ0jW0IZTnIT=w464-h260-n-k-no,Vast wildlife reserve with big cats,"To the east and north of the Maasai Mara National Reserve, some of the former Maasai cattle-grazing areas have been converted into wildlife conservancies for tourism.The conservancies include Enonkishu, Lemek, Mara Naboisho, Mara North, Nashulai, Olare Motorogi, Olarro North and Olarro South, Olchorro Oirowua, Ol Kinyei, Olderkesi, Oloisukut, Pardamat and Siana.The conservancies came about when Maasai land owners with neighbouring land came together to agree that safari camp operators could use their land for tourism purposes, in return for either a percentage of profits or leasing fee.While this varies between conservancies, in some instances the Maasai retain livestock grazing rights in . Due to this, it is fairly common to see cattle alongside wildlife in certain areas.",https://en.wikipedia.org/wiki/Maasai_Mara_Conservancies,7,3.7
Sacred Mijikenda Kaya Forests,https://lh5.googleusercontent.com/p/AF1QipPpSd_8CKONFe1E-xSUN2eIvi18z79mc2mwUPJt=w464-h260-n-k-no,"Sacred, centuries-old village remains","Kaya (plural makaya or kayas) is a sacred forest of the Mijikenda people in the former Coast Province of Kenya. The kaya forest is considered to be an intrinsic source of ritual power and the origin of cultural identity; it is also a place of prayer for members of the particular ethnic group. The settlement, ritual centre, and fortified enclosure associated with the forest are also part of the kaya. In the present day, the kaya is also referred to as a traditional organizational unit of the Mijikenda. Eleven of the approximately 30 separate kaya have been grouped together and inscribed as the Sacred Mijikenda Kaya Forests, a UNESCO World Heritage Site.",https://en.wikipedia.org/wiki/Kaya_(Mijikenda),11,4.4
